category,coefficient,coordinate_sign_convention,definition,gate_action,method,name,perturbation,production_included,reason,required,selected_fd_step,selected_fd_step_unit,source,source_field,units,validation_status,value,wake_iterations
longitudinal,CL,"+X forward, +Y right, +Z down; right-handed body axes; +alpha gives positive incoming-flow Z component; +beta gives positive incoming-flow Y component; +delta_a/+delta_e/+delta_r increase the matching OpenVSP Control Surface Group DeflectionAngle; physical trailing-edge direction depends on model gains and hinge orientation; CX=-CFx, CY=CFy, CZ=-CFz, Cl=-CMx=CMl, Cm=CMy=CMm, Cn=-CMz=CMn",dCL/dalpha at trim,ACCEPT,centered_finite_difference,CL_alpha,alpha,True,selected the larger endpoint of the first local PASS-stable range,True,0.5,deg,VSPAERO_Polar centered +/- solver cases,VSPAERO_Polar.CL,1/rad,PASS,4.700659873273386,12
longitudinal,CD,"+X forward, +Y right, +Z down; right-handed body axes; +alpha gives positive incoming-flow Z component; +beta gives positive incoming-flow Y component; +delta_a/+delta_e/+delta_r increase the matching OpenVSP Control Surface Group DeflectionAngle; physical trailing-edge direction depends on model gains and hinge orientation; CX=-CFx, CY=CFy, CZ=-CFz, Cl=-CMx=CMl, Cm=CMy=CMm, Cn=-CMz=CMn",dCD/dalpha at trim,ACCEPT,centered_finite_difference,CD_alpha,alpha,True,selected the larger endpoint of the first local PASS-stable range,True,0.5,deg,VSPAERO_Polar centered +/- solver cases,VSPAERO_Polar.CD,1/rad,PASS,0.2781414852500147,12
longitudinal,Cm,"+X forward, +Y right, +Z down; right-handed body axes; +alpha gives positive incoming-flow Z component; +beta gives positive incoming-flow Y component; +delta_a/+delta_e/+delta_r increase the matching OpenVSP Control Surface Group DeflectionAngle; physical trailing-edge direction depends on model gains and hinge orientation; CX=-CFx, CY=CFy, CZ=-CFz, Cl=-CMx=CMl, Cm=CMy=CMm, Cn=-CMz=CMn",dCm/dalpha at trim,ACCEPT,centered_finite_difference,Cm_alpha,alpha,True,selected the larger endpoint of the first local PASS-stable range,True,0.5,deg,VSPAERO_Polar centered +/- solver cases,VSPAERO_Polar.Cm,1/rad,PASS,-1.127856599235177,12
longitudinal,CL,"+X forward, +Y right, +Z down; right-handed body axes; +alpha gives positive incoming-flow Z component; +beta gives positive incoming-flow Y component; +delta_a/+delta_e/+delta_r increase the matching OpenVSP Control Surface Group DeflectionAngle; physical trailing-edge direction depends on model gains and hinge orientation; CX=-CFx, CY=CFy, CZ=-CFz, Cl=-CMx=CMl, Cm=CMy=CMm, Cn=-CMz=CMn",dCL/dq_hat; q_hat=q*cref/(2V),ACCEPT,vspaero_steady_rate_derivative,CL_q,q,True,finite VSPAERO steady-stability derivative with verified normalized-rate denominator,True,,,VSPAERO_Stab,VSPAERO_Stab.CL_q,1/q_hat,PASS,9.0139018,12
longitudinal,Cm,"+X forward, +Y right, +Z down; right-handed body axes; +alpha gives positive incoming-flow Z component; +beta gives positive incoming-flow Y component; +delta_a/+delta_e/+delta_r increase the matching OpenVSP Control Surface Group DeflectionAngle; physical trailing-edge direction depends on model gains and hinge orientation; CX=-CFx, CY=CFy, CZ=-CFz, Cl=-CMx=CMl, Cm=CMy=CMm, Cn=-CMz=CMn",dCm/dq_hat; q_hat=q*cref/(2V),ACCEPT,vspaero_steady_rate_derivative,Cm_q,q,True,finite VSPAERO steady-stability derivative with verified normalized-rate denominator,True,,,VSPAERO_Stab,VSPAERO_Stab.CMm_q,1/q_hat,PASS,-13.3702268,12
lateral,CY,"+X forward, +Y right, +Z down; right-handed body axes; +alpha gives positive incoming-flow Z component; +beta gives positive incoming-flow Y component; +delta_a/+delta_e/+delta_r increase the matching OpenVSP Control Surface Group DeflectionAngle; physical trailing-edge direction depends on model gains and hinge orientation; CX=-CFx, CY=CFy, CZ=-CFz, Cl=-CMx=CMl, Cm=CMy=CMm, Cn=-CMz=CMn",dCY/dbeta at trim,ACCEPT,centered_finite_difference,CY_beta,beta,True,selected the larger endpoint of the first local PASS-stable range,True,0.5,deg,VSPAERO_Polar centered +/- solver cases,VSPAERO_Polar.CY,1/rad,PASS,-0.35413987446421835,12
lateral,Cl,"+X forward, +Y right, +Z down; right-handed body axes; +alpha gives positive incoming-flow Z component; +beta gives positive incoming-flow Y component; +delta_a/+delta_e/+delta_r increase the matching OpenVSP Control Surface Group DeflectionAngle; physical trailing-edge direction depends on model gains and hinge orientation; CX=-CFx, CY=CFy, CZ=-CFz, Cl=-CMx=CMl, Cm=CMy=CMm, Cn=-CMz=CMn",dCl/dbeta at trim,ACCEPT,centered_finite_difference,Cl_beta,beta,True,selected the larger endpoint of the first local PASS-stable range,True,0.5,deg,VSPAERO_Polar centered +/- solver cases,VSPAERO_Polar.Cl,1/rad,PASS,-0.10130866115832135,12
lateral,Cn,"+X forward, +Y right, +Z down; right-handed body axes; +alpha gives positive incoming-flow Z component; +beta gives positive incoming-flow Y component; +delta_a/+delta_e/+delta_r increase the matching OpenVSP Control Surface Group DeflectionAngle; physical trailing-edge direction depends on model gains and hinge orientation; CX=-CFx, CY=CFy, CZ=-CFz, Cl=-CMx=CMl, Cm=CMy=CMm, Cn=-CMz=CMn",dCn/dbeta at trim,ACCEPT,centered_finite_difference,Cn_beta,beta,True,selected the larger endpoint of the first local PASS-stable range,True,0.5,deg,VSPAERO_Polar centered +/- solver cases,VSPAERO_Polar.Cn,1/rad,PASS,0.042410919839576774,12
lateral,CY,"+X forward, +Y right, +Z down; right-handed body axes; +alpha gives positive incoming-flow Z component; +beta gives positive incoming-flow Y component; +delta_a/+delta_e/+delta_r increase the matching OpenVSP Control Surface Group DeflectionAngle; physical trailing-edge direction depends on model gains and hinge orientation; CX=-CFx, CY=CFy, CZ=-CFz, Cl=-CMx=CMl, Cm=CMy=CMm, Cn=-CMz=CMn",dCY/dp_hat; p_hat=p*bref/(2V),ACCEPT,vspaero_steady_rate_derivative,CY_p,p,True,finite VSPAERO steady-stability derivative with verified normalized-rate denominator,True,,,VSPAERO_Stab,VSPAERO_Stab.CFy_p,1/p_hat,PASS,-0.0568985,12
lateral,Cl,"+X forward, +Y right, +Z down; right-handed body axes; +alpha gives positive incoming-flow Z component; +beta gives positive incoming-flow Y component; +delta_a/+delta_e/+delta_r increase the matching OpenVSP Control Surface Group DeflectionAngle; physical trailing-edge direction depends on model gains and hinge orientation; CX=-CFx, CY=CFy, CZ=-CFz, Cl=-CMx=CMl, Cm=CMy=CMm, Cn=-CMz=CMn",dCl/dp_hat; p_hat=p*bref/(2V),ACCEPT,vspaero_steady_rate_derivative,Cl_p,p,True,finite VSPAERO steady-stability derivative with verified normalized-rate denominator,True,,,VSPAERO_Stab,VSPAERO_Stab.CMl_p,1/p_hat,PASS,-0.4776185,12
